model,hf_id,family,seed,exec_time,exec_seconds,best_epoch,best_dev_macro_f1,phase2_epochs,phase2_train_runtime_s,phase2_train_loss,done_marker,precision
mDeBERTa-v3,microsoft/mdeberta-v3-base,DeBERTa,42,16m 52s,1012.02,5,0.7368,12,,,DONE mdeberta_v3_seed42,bf16=True
mDeBERTa-v3,microsoft/mdeberta-v3-base,DeBERTa,2026,14m 58s,898.56,4,0.7091,12,,,DONE mdeberta_v3_seed2026,bf16=True
mDeBERTa-v3,microsoft/mdeberta-v3-base,DeBERTa,100,20m 18s,1218.202,7,0.6679,12,,,DONE mdeberta_v3_seed100,bf16=True
MrBERT-biomed,BSC-LT/MrBERT-biomed,ModernBERT,2026,17m 45s,1065.535,4,0.7302,12,,,DONE mrbert_biomed_seed2026,eager=True
MrBERT-biomed,BSC-LT/MrBERT-biomed,ModernBERT,100,21m 29s,1289.368,6,0.6867,12,,,DONE mrbert_biomed_seed100,eager=True
MrBERT-biomed,BSC-LT/MrBERT-biomed,ModernBERT,42,23m 17s,1397.723,7,0.657,12,,,DONE mrbert_biomed_seed42,eager=True
MrBERT-es,BSC-LT/MrBERT-es,ModernBERT,100,16m 28s,988.074,5,0.7176,12,,,DONE mrbert_es_seed100,eager=True
MrBERT-es,BSC-LT/MrBERT-es,ModernBERT,2026,20m 57s,1257.359,8,0.7028,12,,,DONE mrbert_es_seed2026,eager=True
MrBERT-es,BSC-LT/MrBERT-es,ModernBERT,42,16m 29s,989.179,4,0.6678,12,,,DONE mrbert_es_seed42,eager=True
RigoBERTa-Clinical,IIC/RigoBERTa-Clinical,XLM-RoBERTa,2026,28m 2s,1682.822,5,0.7244,12,,,DONE rigoberta_clinical_seed2026,fp16=True
RigoBERTa-Clinical,IIC/RigoBERTa-Clinical,XLM-RoBERTa,100,30m 15s,1815.881,6,0.6899,12,,,DONE rigoberta_clinical_seed100,fp16=True
RigoBERTa-Clinical,IIC/RigoBERTa-Clinical,XLM-RoBERTa,42,27m 20s,1640.141,5,0.6613,12,,,DONE rigoberta_clinical_seed42,fp16=True
bsc-bio-ehr-es,PlanTL-GOB-ES/bsc-bio-ehr-es,RoBERTa,42,9m 54s,594.604,5,0.7131,12,,,DONE bsc_bio_ehr_seed42,fp16=True
bsc-bio-ehr-es,PlanTL-GOB-ES/bsc-bio-ehr-es,RoBERTa,2026,13m 59s,839.99,9,0.6996,12,,,DONE bsc_bio_ehr_seed2026,fp16=True
bsc-bio-ehr-es,PlanTL-GOB-ES/bsc-bio-ehr-es,RoBERTa,100,11m 18s,678.142,6,0.6944,12,,,DONE bsc_bio_ehr_seed100,fp16=True
roberta-bio-clinical,PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,RoBERTa,100,9m 50s,590.557,5,0.6832,12,,,DONE roberta_clinical_seed100,fp16=True
roberta-bio-clinical,PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,RoBERTa,2026,8m 52s,532.929,4,0.706,12,,,DONE roberta_clinical_seed2026,fp16=True
roberta-bio-clinical,PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,RoBERTa,42,8m 57s,537.309,4,0.6662,12,,,DONE roberta_clinical_seed42,fp16=True
BETO,dccuchile/bert-base-spanish-wwm-cased,BERT,2026,8m 27s,507.97,4,0.684,12,,,DONE beto_seed2026,fp16=True
BETO,dccuchile/bert-base-spanish-wwm-cased,BERT,42,12m 44s,764.651,9,0.6728,12,,,DONE beto_seed42,fp16=True
BETO,dccuchile/bert-base-spanish-wwm-cased,BERT,100,9m 8s,548.474,4,0.667,12,,,DONE beto_seed100,fp16=True
XLM-R large,FacebookAI/xlm-roberta-large,XLM-RoBERTa,2026,36m 10s,2170.078,8,0.6924,12,,,DONE xlmr_large_seed2026,fp16=True
XLM-R large,FacebookAI/xlm-roberta-large,XLM-RoBERTa,42,26m 53s,1613.523,5,0.6479,12,,,DONE xlmr_large_seed42,fp16=True
XLM-R large,FacebookAI/xlm-roberta-large,XLM-RoBERTa,100,45m 16s,2716,11,0.6906,12,1225.1477,0.30264691787904124,DONE xlmr_large_seed100,fp16=True
BETO_Galen,IIC/BETO_Galen,BERT,100,12m 58s,778.587,9,0.5655,12,,,DONE beto_galen_seed100,fp16=True
BETO_Galen,IIC/BETO_Galen,BERT,2026,15m 13s,913.537,11,0.577,12,,,DONE beto_galen_seed2026,fp16=True
BETO_Galen,IIC/BETO_Galen,BERT,42,15m 0s,900.117,12,0.5606,12,,,DONE beto_galen_seed42,fp16=True
