model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
dccuchile/bert-base-spanish-wwm-cased,42,1,0.6146223311105539,0.8865096359743042,0.735135135135135,0.2222222222222222
dccuchile/bert-base-spanish-wwm-cased,42,2,0.5822138277949288,0.8863109048723897,0.7603305785123967,0.09999999999999999
dccuchile/bert-base-spanish-wwm-cased,42,3,0.6154154154154153,0.8888888888888888,0.735135135135135,0.2222222222222222
dccuchile/bert-base-spanish-wwm-cased,42,4,0.6605858643017938,0.8763557483731019,0.7575757575757576,0.34782608695652173
dccuchile/bert-base-spanish-wwm-cased,42,5,0.6666969009826152,0.8934240362811793,0.7733333333333333,0.3333333333333333
dccuchile/bert-base-spanish-wwm-cased,42,6,0.6646206947714486,0.8764568764568764,0.7537688442211055,0.3636363636363637
dccuchile/bert-base-spanish-wwm-cased,42,7,0.6302438882081801,0.8793103448275862,0.7614213197969544,0.25
dccuchile/bert-base-spanish-wwm-cased,42,8,0.6593335886234393,0.8778280542986426,0.766839378238342,0.3333333333333333
dccuchile/bert-base-spanish-wwm-cased,42,9,0.6727602249051002,0.8908296943231442,0.7745098039215685,0.35294117647058826
dccuchile/bert-base-spanish-wwm-cased,42,10,0.6691145935785632,0.8918322295805738,0.7821782178217821,0.3333333333333333
dccuchile/bert-base-spanish-wwm-cased,42,11,0.6685240164179896,0.8810572687224669,0.7715736040609136,0.35294117647058826
dccuchile/bert-base-spanish-wwm-cased,42,12,0.6644069912609237,0.8898876404494381,0.7699999999999999,0.3333333333333333
dccuchile/bert-base-spanish-wwm-cased,42,13,0.6614860799248594,0.8849557522123894,0.7661691542288557,0.3333333333333333
dccuchile/bert-base-spanish-wwm-cased,42,14,0.6727602249051002,0.8908296943231442,0.7745098039215685,0.35294117647058826
