model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
microsoft/mdeberta-v3-base,42,1,0.6150232105420784,0.830188679245283,0.7291666666666666,0.28571428571428575
microsoft/mdeberta-v3-base,42,2,0.6263120567375887,0.88,0.7489361702127659,0.25
microsoft/mdeberta-v3-base,42,3,0.5622146815620529,0.8316831683168318,0.6577777777777778,0.19718309859154928
microsoft/mdeberta-v3-base,42,4,0.6784648265436442,0.8844444444444443,0.8061224489795918,0.3448275862068966
microsoft/mdeberta-v3-base,42,5,0.7368157906177992,0.8869179600886917,0.823529411764706,0.5
microsoft/mdeberta-v3-base,42,6,0.6813230342642108,0.8888888888888888,0.8021390374331552,0.35294117647058826
microsoft/mdeberta-v3-base,42,7,0.7019761593600253,0.8848758465011286,0.7999999999999999,0.4210526315789474
microsoft/mdeberta-v3-base,42,8,0.6517980131739867,0.8772727272727273,0.7623318385650223,0.3157894736842105
microsoft/mdeberta-v3-base,42,9,0.660582458386782,0.8781609195402298,0.7557603686635945,0.34782608695652173
microsoft/mdeberta-v3-base,42,10,0.7368157906177992,0.8869179600886917,0.823529411764706,0.5
