model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
IIC/RigoBERTa-Clinical,100,1,0.6212375152802936,0.8649789029535865,0.7378640776699028,0.26086956521739135
IIC/RigoBERTa-Clinical,100,2,0.5227422727422727,0.8255528255528255,0.6593406593406593,0.08333333333333334
IIC/RigoBERTa-Clinical,100,3,0.641777269119303,0.8873239436619719,0.7522935779816514,0.2857142857142857
IIC/RigoBERTa-Clinical,100,4,0.626343905200731,0.8915094339622642,0.7450980392156863,0.24242424242424243
IIC/RigoBERTa-Clinical,100,5,0.6417789625103685,0.8826291079812206,0.7464114832535885,0.2962962962962963
IIC/RigoBERTa-Clinical,100,6,0.6898903278305073,0.8741092636579573,0.766990291262136,0.42857142857142855
IIC/RigoBERTa-Clinical,100,7,0.653763250361709,0.8732394366197184,0.7547169811320754,0.3333333333333333
IIC/RigoBERTa-Clinical,100,8,0.6219877241991235,0.8831775700934581,0.7605633802816901,0.2222222222222222
IIC/RigoBERTa-Clinical,100,9,0.6560809451985923,0.8752941176470589,0.7596153846153847,0.3333333333333333
IIC/RigoBERTa-Clinical,100,10,0.6301260467927134,0.8811188811188811,0.7592592592592592,0.25
IIC/RigoBERTa-Clinical,100,11,0.6898903278305073,0.8741092636579573,0.766990291262136,0.42857142857142855
