model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,100,1,0.6498142042183492,0.8787878787878788,0.7979274611398963,0.27272727272727276
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,100,2,0.5905569007263923,0.8716707021791767,0.775,0.125
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,100,3,0.6385531381502373,0.8858447488584476,0.7945205479452054,0.23529411764705882
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,100,4,0.6506558131988761,0.8940092165898618,0.8155339805825242,0.24242424242424243
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,100,5,0.6831943401030718,0.8873239436619719,0.8144329896907218,0.34782608695652173
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,100,6,0.6613577293401854,0.8935185185185185,0.7942583732057416,0.2962962962962963
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,100,7,0.6612428755285898,0.891891891891892,0.8061224489795918,0.28571428571428575
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,100,8,0.6532890697833057,0.9004524886877827,0.8241206030150754,0.23529411764705882
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,100,9,0.6611164495413326,0.8965517241379312,0.8140703517587939,0.27272727272727276
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,100,10,0.6831943401030718,0.8873239436619719,0.8144329896907218,0.34782608695652173
