model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
FacebookAI/xlm-roberta-large,100,1,0.5989286208464291,0.857142857142857,0.7214611872146119,0.21818181818181817
FacebookAI/xlm-roberta-large,100,2,0.5740014000289874,0.8223844282238443,0.6996197718631179,0.19999999999999998
FacebookAI/xlm-roberta-large,100,3,0.6518065268065268,0.875,0.7727272727272727,0.30769230769230765
FacebookAI/xlm-roberta-large,100,4,0.6040681639085895,0.8747044917257684,0.75,0.18750000000000003
FacebookAI/xlm-roberta-large,100,5,0.6511236307321316,0.8379052369077308,0.7345132743362831,0.380952380952381
FacebookAI/xlm-roberta-large,100,6,0.652728201749251,0.8968609865470852,0.7650273224043715,0.2962962962962963
FacebookAI/xlm-roberta-large,100,7,0.6473570773645793,0.8940092165898618,0.7813953488372093,0.26666666666666666
FacebookAI/xlm-roberta-large,100,8,0.6720953060860254,0.8816705336426914,0.7596153846153847,0.375
FacebookAI/xlm-roberta-large,100,9,0.6884296482581735,0.8730512249443207,0.7216494845360824,0.47058823529411764
FacebookAI/xlm-roberta-large,100,10,0.6641000310023716,0.8789237668161435,0.7655502392344496,0.34782608695652173
FacebookAI/xlm-roberta-large,100,11,0.690597078530169,0.8924485125858124,0.7793427230046949,0.39999999999999997
FacebookAI/xlm-roberta-large,100,12,0.6459923099674653,0.8843537414965986,0.7536231884057971,0.3
FacebookAI/xlm-roberta-large,100,13,0.6569920201820966,0.8803611738148984,0.7572815533980582,0.3333333333333333
FacebookAI/xlm-roberta-large,100,14,0.6509632070621924,0.8798185941043083,0.7572815533980582,0.3157894736842105
FacebookAI/xlm-roberta-large,100,15,0.6509632070621924,0.8798185941043083,0.7572815533980582,0.3157894736842105
FacebookAI/xlm-roberta-large,100,16,0.690597078530169,0.8924485125858124,0.7793427230046949,0.39999999999999997
